,0050,006208,2330,2376,2884,0056,00679B,00646,00631L
2022-08-30,116.75,67.25,496.0,84.5,27.65,28.67,34.55,38.03,104.25
2022-08-31,117.6,67.7,505.0,85.9,28.2,28.79,34.45,37.71,105.65
2022-09-01,115.15,66.3,490.5,83.9,27.65,28.44,34.03,37.05,101.0
2022-09-02,113.9,65.7,485.0,85.1,27.6,28.1,33.81,37.42,99.4
2022-09-05,114.15,65.7,486.0,83.5,27.55,28.18,34.05,37.26,99.55
2022-09-06,114.9,66.1,489.0,81.2,27.8,28.08,33.91,37.45,99.9
2022-09-07,112.2,64.65,472.5,80.3,27.3,27.9,33.45,37.12,95.9
2022-09-08,113.0,65.0,475.0,86.2,27.5,28.25,33.92,37.91,98.1
2022-09-12,115.4,66.35,486.5,91.1,27.75,28.56,33.52,38.71,101.9
2022-09-13,116.0,66.7,493.0,92.9,27.75,28.71,33.38,39.11,102.85
2022-09-14,113.65,65.4,480.0,91.0,27.4,28.35,33.5,37.83,99.0
2022-09-15,113.85,65.5,476.5,95.5,27.55,28.59,33.64,37.89,99.65
2022-09-16,112.55,64.85,472.0,93.7,27.4,28.28,33.88,37.43,97.45
2022-09-19,112.05,64.45,467.0,95.3,27.4,28.06,33.71,37.45,96.5
2022-09-20,113.05,65.0,476.5,93.2,27.4,27.98,33.79,37.85,98.2
2022-09-21,112.1,64.5,471.0,90.0,27.3,27.64,33.59,37.49,96.7
2022-09-22,110.75,63.7,464.5,93.0,26.8,27.17,34.07,36.81,94.2
2022-09-23,109.7,63.0,455.0,92.2,26.75,27.06,33.35,36.75,92.7
2022-09-26,107.65,61.8,446.5,89.2,26.35,26.33,33.46,36.08,88.15
2022-09-27,107.5,61.7,448.0,89.0,26.15,26.33,33.18,36.15,88.7
2022-09-28,105.25,60.4,438.0,88.4,26.1,25.83,32.38,35.64,84.65
2022-09-29,104.9,60.2,435.0,88.9,26.1,25.81,33.06,36.52,85.05
2022-09-30,103.45,59.35,422.0,88.3,25.75,25.78,33.04,35.77,83.2
2022-10-03,102.2,58.7,417.0,88.4,25.35,25.67,32.97,35.23,81.5
2022-10-04,104.8,60.05,429.0,90.7,25.3,26.27,33.23,36.44,85.55
2022-10-05,107.25,61.55,445.0,90.6,25.25,26.62,32.98,36.8,88.3
2022-10-06,108.0,62.0,451.0,89.0,25.45,26.57,32.62,37.06,89.15
2022-10-07,106.2,60.95,438.0,84.8,25.3,26.28,32.47,36.52,86.85
2022-10-11,100.7,57.9,401.5,82.9,24.4,25.85,31.8,35.42,78.85
2022-10-12,100.2,57.55,397.5,82.7,24.6,25.82,31.96,35.48,78.6
2022-10-13,99.0,56.85,395.0,82.9,23.75,25.53,32.04,35.3,75.6
2022-10-14,101.85,58.45,412.0,82.1,23.55,25.91,31.97,36.35,79.95
2022-10-17,99.95,57.3,397.0,83.1,23.1,25.77,31.83,35.69,79.35
2022-10-18,101.1,58.0,407.0,89.3,23.0,25.84,31.68,36.87,79.15
2022-10-19,99.75,57.25,395.5,91.6,22.5,23.95,31.55,36.95,77.8
2022-10-20,99.2,57.1,397.5,90.0,22.55,23.65,31.12,36.65,76.7
2022-10-21,98.9,56.75,389.5,90.3,22.95,23.58,30.6,36.3,75.6
2022-10-24,98.6,56.75,387.0,90.0,22.85,23.69,30.46,37.35,76.25
2022-10-25,96.7,55.5,371.0,90.2,22.8,23.4,30.27,37.82,74.0
2022-10-26,97.6,56.15,376.0,91.3,23.2,23.41,30.94,38.04,74.8
2022-10-27,99.0,56.9,385.5,93.0,23.1,23.58,31.03,38.02,76.95
2022-10-28,97.75,56.2,379.5,92.5,23.15,23.31,31.43,37.49,74.9
2022-10-31,99.05,56.95,390.0,92.5,23.2,23.48,31.28,38.69,76.95
2022-11-01,99.6,57.25,391.5,91.5,23.4,23.55,31.26,38.64,78.2
2022-11-02,100.0,57.5,395.0,92.5,23.25,23.67,31.32,38.41,78.8
2022-11-03,98.7,56.8,384.0,95.1,23.05,23.58,31.19,37.49,77.35
2022-11-04,98.85,56.9,382.0,96.8,23.05,23.64,30.98,37.1,77.95
2022-11-07,100.55,57.85,390.0,102.0,23.5,24.06,30.71,37.32,80.3
2022-11-08,101.6,58.5,399.0,101.0,23.5,24.23,30.15,37.56,81.45
2022-11-09,104.5,60.0,417.0,102.5,23.45,24.61,30.38,37.59,85.2
2022-11-10,103.5,59.45,407.5,100.5,23.2,24.53,30.45,37.0,83.6
2022-11-11,109.0,62.55,441.5,101.0,24.0,25.0,31.1,38.13,90.65
2022-11-14,110.0,63.25,445.0,100.5,24.05,25.42,30.71,38.09,92.2
2022-11-15,114.7,65.8,480.0,99.0,24.2,25.55,30.62,38.25,97.75
2022-11-16,114.5,64.7,487.0,104.0,24.0,25.53,30.64,38.44,97.8
2022-11-17,114.55,64.7,485.0,107.0,23.75,25.58,31.31,38.17,98.15
2022-11-18,114.25,64.55,487.0,113.0,23.7,25.43,31.26,38.04,97.2
2022-11-21,113.85,64.25,482.0,108.0,23.75,25.22,31.21,38.14,96.75
2022-11-22,114.8,64.85,491.0,107.0,23.75,25.1,31.14,38.01,97.85
2022-11-23,115.6,65.3,492.0,105.5,24.0,25.3,31.61,38.56,99.3
2022-11-24,116.7,65.9,496.0,107.0,24.25,25.54,31.9,38.6,101.55
2022-11-25,116.7,65.8,498.0,107.5,24.15,25.52,31.94,38.43,100.8
2022-11-28,114.35,64.7,480.5,108.5,24.1,25.32,32.14,38.29,97.85
2022-11-29,115.4,65.1,487.0,108.0,24.5,25.47,31.81,38.08,99.95
2022-11-30,116.35,65.75,490.0,108.0,24.8,25.65,31.51,37.83,102.1
2022-12-01,118.35,66.75,498.5,112.5,24.6,25.82,31.57,38.64,104.35
2022-12-02,117.3,66.3,492.5,111.0,24.15,25.73,32.09,38.48,103.05
2022-12-05,117.45,66.25,489.0,108.0,24.25,25.87,32.34,38.33,103.55
2022-12-06,115.3,65.2,478.0,103.5,24.2,25.61,32.43,37.81,100.1
2022-12-07,114.6,64.75,475.0,101.0,24.4,25.44,32.66,37.5,99.1
2022-12-08,113.25,64.0,471.5,102.5,24.65,25.29,33.41,37.37,97.5
2022-12-09,115.0,64.95,481.5,102.5,24.65,25.51,33.59,37.68,100.0
2022-12-12,113.9,64.5,475.0,102.5,24.55,25.5,32.92,37.38,98.4
2022-12-13,113.4,64.15,471.5,102.5,24.2,25.53,32.77,37.93,97.65
2022-12-14,114.8,65.0,480.5,107.0,24.65,25.68,32.98,38.14,100.3
2022-12-15,114.9,65.05,480.5,114.0,24.6,25.7,33.0,37.93,100.4
2022-12-16,113.0,63.9,471.0,107.0,24.25,25.7,33.14,37.17,96.95
2022-12-19,112.35,63.6,466.5,103.0,24.3,25.73,32.85,36.74,96.05
2022-12-20,110.3,62.5,457.5,100.0,24.0,25.3,31.94,36.04,92.5
2022-12-21,110.75,62.65,459.0,101.0,24.1,25.34,31.89,36.48,93.2
2022-12-22,112.6,63.7,468.0,105.0,24.35,25.67,32.1,36.91,96.4
2022-12-23,110.7,62.8,455.0,106.5,24.1,25.6,31.87,36.44,93.7
2022-12-26,111.1,62.95,456.5,105.0,24.15,25.58,31.73,36.84,94.35
2022-12-27,111.6,63.1,457.0,106.0,24.3,25.63,31.6,36.78,95.05
2022-12-28,110.0,62.1,451.0,105.5,24.05,25.38,31.09,36.46,92.4
2022-12-29,109.5,61.85,446.0,107.5,24.1,25.29,30.97,36.07,91.7
2022-12-30,110.2,62.1,448.5,106.5,24.05,25.4,31.08,36.56,92.8
2023-01-03,110.75,62.6,453.0,111.0,24.0,25.49,31.0,36.55,94.05
2023-01-04,110.5,62.35,449.5,112.0,23.8,25.45,31.56,36.42,93.8
2023-01-05,111.3,62.8,458.5,110.5,24.0,25.46,31.53,36.59,94.5
2023-01-06,111.8,63.2,458.5,112.0,23.95,25.66,31.71,36.36,95.9
2023-01-09,115.8,65.25,481.0,113.5,24.6,25.94,32.03,36.9,101.2
2023-01-10,116.25,65.75,486.0,114.5,24.5,26.06,32.12,36.64,102.3
2023-01-11,116.35,65.6,484.5,114.5,24.2,26.07,31.88,36.87,101.7
2023-01-12,115.85,65.55,486.5,114.0,24.05,25.99,32.2,37.34,101.15
2023-01-13,117.2,66.3,500.0,114.0,24.25,25.98,32.5,37.3,102.6
2023-01-16,118.1,66.85,505.0,113.5,24.45,26.02,32.26,37.41,104.0
2023-01-17,118.1,66.75,503.0,114.0,24.15,26.06,32.17,37.35,104.0
2023-01-30,120.7,69.75,543.0,119.5,24.9,26.53,32.3,37.82,111.55
2023-01-31,118.3,68.6,522.0,115.5,24.5,26.54,32.04,37.31,109.3
2023-02-01,119.0,68.95,530.0,117.0,24.65,26.67,32.12,37.67,110.55
2023-02-02,121.0,69.95,540.0,118.0,24.65,26.99,32.15,37.87,113.6
2023-02-03,121.0,69.95,542.0,114.5,24.7,27.0,32.41,38.11,113.55
2023-02-06,119.25,69.0,526.0,116.0,24.5,26.92,32.08,38.09,110.7
2023-02-07,119.0,68.85,523.0,119.5,24.4,26.94,31.98,38.14,110.7
2023-02-08,120.85,69.85,540.0,120.0,24.5,27.15,31.8,38.57,113.65
2023-02-09,120.9,69.9,540.0,117.0,24.6,27.15,31.78,38.36,113.5
2023-02-10,121.0,70.0,545.0,117.0,24.7,27.02,31.67,37.99,113.15
2023-02-13,120.75,69.85,541.0,117.5,25.2,26.97,31.4,38.15,112.7
2023-02-14,121.65,70.25,545.0,119.0,25.25,27.13,31.62,38.56,114.5
2023-02-15,118.85,68.85,525.0,119.0,25.05,27.05,31.76,38.6,110.2
2023-02-16,120.3,69.6,528.0,121.0,25.1,27.33,31.1,38.87,112.95
2023-02-17,118.75,68.7,518.0,117.5,25.4,27.24,30.73,38.29,111.05
2023-02-20,119.0,68.85,517.0,116.5,26.0,27.41,31.09,38.38,112.0
2023-02-21,118.95,68.75,516.0,116.5,24.75,27.53,31.1,38.2,112.05
2023-02-22,117.65,68.05,507.0,117.5,24.9,27.4,30.96,37.84,109.8
2023-02-23,119.4,69.05,518.0,120.5,24.95,27.74,30.96,37.72,113.1
2023-02-24,118.8,68.7,511.0,119.0,24.95,27.67,31.21,37.8,111.85
2023-03-01,119.35,69.05,522.0,120.5,24.8,27.72,31.04,37.72,112.5
2023-03-02,119.25,68.85,519.0,120.0,24.7,27.78,30.89,37.43,112.4
2023-03-03,119.35,69.0,516.0,119.0,24.65,27.95,30.82,37.77,112.9
2023-03-06,120.5,69.75,521.0,118.5,24.85,28.25,31.13,38.34,115.45
2023-03-07,121.3,70.1,524.0,119.5,25.0,28.38,31.05,38.35,117.0
2023-03-08,120.3,69.65,521.0,117.0,25.0,28.37,31.1,37.99,115.65
2023-03-09,120.2,69.55,522.0,119.0,24.85,28.24,31.12,38.07,115.0
2023-03-10,118.3,68.55,513.0,120.0,24.55,27.86,31.79,37.3,111.0
2023-03-13,118.8,68.75,516.0,118.5,24.35,27.93,31.79,37.27,111.85
2023-03-14,117.5,68.0,510.0,117.5,24.05,27.66,32.15,36.71,109.25
2023-03-15,117.6,68.0,511.0,119.0,24.0,27.66,31.82,37.12,109.8
2023-03-16,117.05,67.65,505.0,119.5,23.55,27.5,32.39,37.1,107.9
2023-03-17,118.95,68.55,518.0,118.5,23.7,27.76,32.18,37.48,111.0
2023-03-20,118.1,68.2,512.0,120.0,23.75,27.76,32.5,37.15,110.15
2023-03-21,118.65,68.5,517.0,120.0,23.95,27.84,32.41,37.47,111.5
2023-03-22,120.9,69.8,533.0,123.5,24.45,28.05,32.04,37.85,115.35
2023-03-23,121.85,70.25,538.0,126.0,24.65,28.12,32.09,37.26,117.0
2023-03-24,122.2,70.65,539.0,129.0,24.7,28.26,32.1,37.32,118.3
2023-03-27,121.45,70.2,531.0,128.0,24.7,28.31,32.28,37.6,116.9
2023-03-28,120.4,69.6,525.0,128.0,24.8,28.06,31.69,37.46,114.5
2023-03-29,120.6,69.8,530.0,130.0,24.9,28.15,31.66,37.61,115.45
2023-03-30,121.2,70.05,535.0,133.0,25.0,28.29,31.63,38.08,116.8
2023-03-31,121.6,70.25,533.0,133.5,25.3,28.43,31.75,38.25,117.5
2023-04-06,121.0,70.05,530.0,138.0,25.45,28.47,32.89,38.55,116.0
2023-04-07,121.0,69.95,531.0,134.0,25.0,28.43,32.89,38.67,116.6
2023-04-10,121.0,70.05,529.0,136.5,25.0,28.5,32.73,38.68,117.35
2023-04-11,120.85,69.95,524.0,135.5,25.25,28.7,32.56,38.77,117.9
2023-04-12,120.55,69.8,520.0,136.5,25.3,28.85,32.53,38.71,117.9
2023-04-13,119.5,69.2,510.0,132.0,25.3,28.71,32.52,38.55,116.25
2023-04-14,120.65,69.85,516.0,134.5,25.45,28.74,32.25,38.92,118.45
2023-04-17,120.35,69.75,520.0,135.0,25.25,28.8,32.04,39.03,118.0
2023-04-18,119.95,69.5,515.0,135.5,25.3,28.67,31.79,39.1,117.15
2023-04-19,119.05,69.0,510.0,134.5,25.05,28.55,31.89,39.06,116.1
2023-04-20,118.9,68.9,513.0,134.0,24.9,28.43,32.02,39.25,115.0
2023-04-21,118.6,68.7,511.0,132.0,24.85,28.19,32.29,39.03,113.7
2023-04-24,118.15,68.45,507.0,135.0,25.0,28.27,32.15,39.0,113.8
2023-04-25,116.6,67.6,498.0,129.0,24.95,27.8,32.5,38.98,110.2
2023-04-26,116.1,67.05,491.5,129.0,24.95,27.84,32.76,38.83,110.1
2023-04-27,116.0,67.2,493.5,131.5,24.8,28.02,32.51,38.57,110.3
2023-04-28,117.4,67.95,502.0,131.0,24.95,28.23,32.46,39.19,112.85
2023-05-02,117.7,68.05,501.0,135.0,24.9,28.44,32.28,39.57,113.75
2023-05-03,117.2,67.85,496.0,132.5,24.8,28.42,32.65,39.2,112.65
2023-05-04,117.5,67.95,498.0,136.0,24.9,28.45,32.81,38.92,113.35
2023-05-05,117.8,68.2,500.0,137.0,24.95,28.47,32.63,38.68,113.7
2023-05-08,118.55,68.6,504.0,135.0,24.95,28.67,32.73,39.21,114.85
2023-05-09,118.9,68.8,510.0,139.0,25.05,28.64,32.51,39.27,115.25
2023-05-10,117.8,68.3,503.0,139.5,25.5,28.54,32.47,39.2,113.3
2023-05-11,117.55,68.0,499.0,141.0,25.45,28.4,32.64,39.39,112.15
2023-05-12,117.2,67.8,496.0,139.0,25.25,28.45,32.85,39.41,112.15
2023-05-15,117.2,67.8,495.5,135.5,25.3,28.42,32.75,39.34,111.85
2023-05-16,118.6,68.6,505.0,144.5,25.7,28.65,32.69,39.37,114.7
2023-05-17,120.55,69.65,519.0,149.5,25.9,28.76,32.41,39.36,118.2
2023-05-18,122.15,70.55,530.0,159.5,26.0,29.05,32.4,39.61,120.95
2023-05-19,122.5,70.7,532.0,164.0,26.3,29.31,32.26,40.11,122.0
2023-05-22,122.3,70.65,531.0,161.5,26.2,29.35,32.1,39.83,121.8
2023-05-23,122.2,70.65,530.0,160.0,26.1,29.37,31.96,40.07,122.1
2023-05-24,121.6,70.3,525.0,165.0,26.1,29.43,31.76,39.67,121.15
2023-05-25,123.05,71.05,543.0,180.0,25.8,29.78,31.63,39.52,123.25
2023-05-26,125.95,72.7,566.0,185.0,25.75,30.13,31.77,39.56,127.0
2023-05-29,126.75,73.05,568.0,186.0,25.8,30.65,31.81,40.02,129.1
2023-05-30,126.75,73.2,566.0,184.5,25.9,30.52,31.82,40.1,129.2
2023-05-31,126.15,72.8,558.0,186.5,25.9,30.49,31.82,39.99,128.25
2023-06-01,125.15,72.2,551.0,190.5,25.85,30.47,31.77,39.92,127.45
2023-06-02,126.75,73.1,562.0,203.0,26.0,30.93,31.73,40.34,130.8
2023-06-05,126.35,72.9,555.0,211.5,26.35,31.1,31.33,40.8,130.35
2023-06-06,126.7,73.15,560.0,209.0,26.55,31.15,31.19,40.84,131.1
2023-06-07,128.1,73.95,568.0,224.5,26.7,31.46,31.43,40.86,133.8
2023-06-08,126.85,73.25,559.0,219.0,26.6,31.24,31.03,40.61,130.8
2023-06-09,127.8,73.9,565.0,240.5,26.5,31.78,31.21,40.82,133.3
2023-06-12,129.0,74.45,574.0,243.0,26.2,31.78,31.23,41.19,134.75
2023-06-13,131.55,76.0,593.0,245.0,26.3,32.2,31.32,42.0,139.35
2023-06-14,131.5,75.85,590.0,242.5,26.25,32.32,31.16,41.76,139.2
2023-06-15,131.9,76.15,591.0,246.0,26.25,32.69,31.22,41.78,140.85
2023-06-16,131.55,75.9,589.0,254.5,26.2,32.78,31.45,42.21,139.85
2023-06-19,131.25,75.85,583.0,252.5,26.3,32.73,31.52,42.13,139.45
2023-06-20,130.55,75.4,583.0,256.0,26.3,32.48,31.39,42.14,138.45
2023-06-21,130.55,75.45,581.0,260.0,26.4,32.83,31.75,42.14,138.4
2023-06-26,129.75,75.0,574.0,243.5,26.35,32.77,31.91,42.0,136.2
2023-06-27,128.9,74.75,572.0,233.0,26.2,32.18,31.85,41.82,133.95
2023-06-28,129.1,74.65,574.0,227.0,26.1,32.3,31.8,42.2,134.3
2023-06-29,129.05,74.65,573.0,233.0,25.95,32.53,31.88,42.27,134.45
2023-06-30,129.1,74.75,576.0,243.5,26.05,32.67,31.59,42.48,135.25
2023-07-03,130.7,75.6,579.0,248.0,26.2,33.24,31.77,43.1,138.75
2023-07-04,131.0,75.9,585.0,272.5,26.05,33.91,31.76,43.11,139.9
2023-07-05,130.8,75.6,582.0,265.0,26.15,33.71,31.71,43.13,138.3
2023-07-06,127.9,74.25,565.0,264.0,25.8,33.34,31.51,43.07,133.35
2023-07-07,127.7,74.0,565.0,261.0,25.55,33.08,31.18,42.94,132.1
2023-07-10,127.45,73.8,565.0,273.5,25.45,33.18,31.0,42.83,131.6
2023-07-11,129.2,74.85,577.0,276.5,25.8,33.8,31.12,43.02,135.65
2023-07-12,129.45,74.95,578.0,304.0,25.95,34.3,31.11,43.19,136.4
2023-07-13,130.9,75.75,585.0,295.5,26.0,34.82,31.18,43.42,139.25
2023-07-14,132.25,76.3,591.0,296.0,26.3,35.54,31.29,43.31,142.4
2023-07-17,132.0,76.45,591.0,293.5,26.45,35.94,31.37,43.37,142.4
2023-07-18,129.85,75.0,581.0,312.5,26.45,35.11,31.35,43.55,141.3
2023-07-19,128.75,74.7,581.0,298.5,26.45,34.36,31.59,44.05,139.6
2023-07-20,129.35,74.7,579.0,305.0,26.6,34.71,31.76,44.06,140.35
2023-07-21,127.2,73.6,560.0,322.5,26.45,35.26,31.63,44.02,137.7
2023-07-24,127.25,73.7,558.0,354.5,26.25,35.99,31.77,44.24,138.15
2023-07-25,128.85,74.5,569.0,352.5,26.55,36.05,31.66,44.35,141.35
2023-07-26,128.5,74.4,566.0,333.0,26.95,36.02,31.56,44.46,140.3
2023-07-27,129.5,74.75,569.0,332.0,26.0,36.1,31.53,44.44,142.4
2023-07-28,129.5,74.8,567.0,347.5,25.95,36.58,31.22,44.2,142.5
2023-07-31,128.8,74.5,565.0,314.0,25.85,35.74,31.22,44.74,139.85
2023-08-01,129.45,74.85,567.0,319.0,25.95,35.73,31.5,45.06,141.5
2023-08-02,127.85,74.0,561.0,297.0,25.65,34.51,31.23,44.8,135.95
2023-08-04,127.25,73.6,554.0,306.0,25.55,34.74,30.89,44.5,135.75
2023-08-07,128.5,74.1,558.0,336.5,25.75,35.7,31.16,44.31,138.8
2023-08-08,127.0,73.4,552.0,333.5,25.6,35.59,31.12,44.54,135.95
2023-08-09,127.2,73.5,554.0,328.5,25.9,35.35,31.28,44.53,135.9
2023-08-10,126.4,73.1,551.0,296.0,25.85,34.43,31.2,44.24,132.65
2023-08-11,126.3,72.95,546.0,300.5,25.7,34.56,31.02,44.12,132.55
2023-08-14,124.5,72.05,541.0,296.0,25.35,34.28,31.0,44.17,128.15
2023-08-15,124.7,72.1,542.0,316.0,25.0,34.85,30.97,44.65,129.5
2023-08-16,124.05,71.8,542.0,334.5,24.55,35.14,30.67,44.02,128.85
2023-08-17,124.6,71.9,544.0,331.0,24.5,35.33,30.4,43.75,130.45
2023-08-18,123.85,71.55,539.0,312.0,24.6,34.84,30.33,43.32,128.15
2023-08-21,123.0,71.3,537.0,310.5,24.85,34.85,30.2,43.38,128.0
2023-08-22,124.0,71.65,541.0,335.5,24.65,35.11,30.0,43.63,129.1
2023-08-23,124.85,72.2,552.0,334.5,24.55,35.43,30.26,43.71,131.45
2023-08-24,127.0,73.4,564.0,354.0,24.4,35.76,30.48,44.13,134.7
2023-08-25,124.55,72.15,546.0,342.5,24.35,35.14,30.31,43.34,129.35
2023-08-28,125.35,72.4,549.0,345.0,24.5,35.06,30.47,43.65,130.4
2023-08-29,126.05,72.75,552.0,354.0,24.6,35.16,30.48,44.03,132.5
2023-08-30,126.6,73.1,555.0,354.0,24.8,35.35,30.64,44.68,133.95
2023-08-31,125.7,72.6,549.0,341.0,24.45,35.31,30.79,44.81,132.35
2023-09-01,125.9,72.7,548.0,323.0,24.55,35.12,30.76,44.75,133.05
2023-09-04,126.75,73.2,557.0,316.0,24.6,35.27,30.48,44.83,134.45
2023-09-05,126.45,73.1,552.0,311.0,24.5,35.43,30.43,44.71,134.55
2023-09-06,126.0,72.85,550.0,306.5,24.35,35.6,30.3,44.64,133.8
2023-09-07,124.85,72.2,542.0,314.5,24.2,35.45,30.3,44.29,131.45
2023-09-08,124.3,71.9,539.0,307.5,24.2,35.42,30.44,44.33,131.05
2023-09-11,123.8,71.65,536.0,279.5,24.15,34.79,30.28,44.46,128.9
2023-09-12,125.05,72.2,544.0,270.5,24.25,34.8,30.24,44.63,131.3
2023-09-13,125.2,72.25,541.0,267.5,24.3,34.86,30.25,44.39,131.7
2023-09-14,126.95,73.25,550.0,278.0,24.8,35.31,30.26,44.48,135.7
2023-09-15,127.35,73.5,558.0,271.5,24.4,35.58,30.16,44.92,136.75
2023-09-18,126.0,72.8,540.0,260.0,24.45,35.31,30.02,44.37,133.65
2023-09-19,125.45,72.5,538.0,253.5,24.45,35.14,30.1,44.3,132.2
2023-09-20,124.75,72.05,535.0,263.5,24.35,35.05,30.01,44.21,131.0
2023-09-21,122.75,71.1,527.0,268.5,24.05,34.7,29.95,43.89,126.9
2023-09-22,122.65,70.9,522.0,279.0,24.1,34.89,29.2,43.32,127.45
2023-09-25,123.55,71.45,525.0,274.5,24.3,35.08,29.18,43.31,129.45
2023-09-26,122.1,70.6,519.0,275.5,24.15,34.76,28.73,43.31,126.45
2023-09-27,122.15,70.6,522.0,284.5,24.15,34.87,28.71,42.97,126.9
2023-09-28,122.65,70.85,523.0,281.5,24.25,35.06,28.52,42.94,127.8
2023-10-02,124.25,71.8,533.0,290.0,24.15,35.74,28.44,43.21,131.05
2023-10-03,123.5,71.45,529.0,290.0,24.1,35.6,28.3,43.05,128.95
2023-10-04,121.9,70.55,520.0,287.5,23.8,35.39,27.61,42.57,126.1
2023-10-05,123.65,71.4,528.0,288.0,24.0,35.69,28.02,42.8,129.5
2023-10-06,124.1,71.75,532.0,289.5,24.2,35.79,27.85,42.61,130.35
2023-10-11,126.25,72.85,544.0,274.0,24.6,35.78,28.2,43.53,133.2
2023-10-12,127.3,73.45,550.0,284.5,24.75,35.98,28.75,43.95,135.3
2023-10-13,126.95,73.3,553.0,271.0,24.65,35.72,28.34,43.75,134.25
2023-10-16,126.25,72.9,545.0,265.5,24.7,35.52,28.43,43.58,132.3
2023-10-17,126.55,72.9,551.0,261.5,24.7,35.27,28.08,43.86,132.15
2023-10-18,124.8,72.1,540.0,246.0,24.5,34.9,27.92,43.79,129.4
2023-10-19,124.85,72.25,546.0,243.0,24.2,33.65,27.59,43.35,129.2
2023-10-20,125.4,72.35,556.0,241.5,24.0,33.4,27.45,42.93,128.7
2023-10-23,123.85,71.55,544.0,239.0,24.05,33.08,27.24,42.59,126.0
2023-10-24,123.95,71.6,544.0,247.0,23.95,33.47,27.75,42.48,127.25
2023-10-25,124.2,71.7,544.0,245.5,23.95,33.62,27.93,42.61,127.95
2023-10-26,121.75,70.55,531.0,232.0,23.8,33.1,27.48,41.99,122.75
2023-10-27,122.3,70.65,533.0,235.5,24.0,33.13,27.82,42.03,124.1
2023-10-30,122.0,70.55,532.0,232.5,23.85,33.23,27.72,41.73,124.0
2023-10-31,121.15,70.1,529.0,217.5,23.85,32.69,27.69,41.88,121.8
2023-11-01,121.75,70.3,528.0,221.0,23.85,32.89,27.36,42.24,122.9
2023-11-02,124.5,72.0,547.0,226.5,24.15,33.52,27.85,42.71,127.85
2023-11-03,125.45,72.4,549.0,220.5,24.35,33.69,28.27,43.28,129.6
2023-11-06,126.55,73.05,550.0,220.0,24.55,34.24,28.32,43.5,132.25
2023-11-07,126.5,73.0,555.0,220.5,24.5,34.23,28.18,43.51,132.3
2023-11-08,127.2,73.35,556.0,224.5,24.55,34.54,28.49,43.72,133.5
2023-11-09,127.25,73.45,557.0,231.0,24.45,34.55,29.03,43.78,133.65
2023-11-10,126.75,73.15,557.0,230.5,24.5,34.43,28.62,43.66,132.4
2023-11-13,128.7,74.25,571.0,225.5,24.5,34.54,28.45,44.17,135.4
2023-11-14,129.0,74.5,572.0,229.5,24.5,34.68,28.63,44.3,136.65
2023-11-15,130.55,75.3,581.0,228.5,24.6,34.83,29.04,45.0,139.8
2023-11-16,130.6,74.6,583.0,233.0,25.15,34.77,28.5,44.73,139.95
2023-11-17,131.0,74.75,580.0,230.5,25.15,34.82,28.55,44.8,140.7
2023-11-20,130.95,74.65,577.0,233.0,25.2,34.9,28.42,44.4,140.45
2023-11-21,132.55,75.55,585.0,244.0,25.7,35.3,28.54,44.43,143.9
2023-11-22,131.35,75.0,577.0,233.5,25.5,35.05,28.47,44.45,141.85
2023-11-23,131.3,74.9,578.0,233.5,25.55,34.97,28.69,44.78,141.75
2023-11-24,131.2,74.85,575.0,232.0,25.5,34.94,28.52,44.87,141.95
2023-11-27,130.35,74.2,568.0,230.0,25.35,34.75,28.35,44.75,139.4
2023-11-28,131.25,74.85,575.0,235.0,25.7,34.9,28.57,44.6,142.85
2023-11-29,131.15,74.8,574.0,243.5,25.55,35.09,28.67,44.37,142.65
2023-11-30,131.35,74.95,577.0,250.0,25.6,35.08,28.86,44.36,143.5
2023-12-01,131.8,75.05,579.0,246.0,25.25,35.13,28.8,44.62,143.8
2023-12-04,131.3,74.9,574.0,236.0,25.25,35.19,29.14,44.74,143.7
2023-12-05,130.35,74.4,570.0,228.5,25.45,35.05,29.33,44.66,141.75
2023-12-06,130.8,74.6,570.0,243.5,25.55,35.31,29.78,44.94,143.0
2023-12-07,130.0,74.2,566.0,259.5,25.5,35.25,30.11,44.69,141.3
2023-12-08,131.05,74.65,570.0,258.5,25.6,35.42,30.04,44.76,143.05
2023-12-11,131.2,74.8,574.0,251.5,25.6,35.47,29.9,45.12,143.55
2023-12-12,131.5,74.95,578.0,250.5,25.5,35.58,29.9,45.35,144.25
2023-12-13,131.55,75.05,577.0,250.0,25.45,36.06,30.0,45.62,144.3
2023-12-14,133.15,75.8,582.0,257.5,25.75,36.55,30.64,46.02,147.7
2023-12-15,133.7,76.05,585.0,254.0,25.7,36.36,30.92,45.96,148.35
2023-12-18,133.9,76.1,585.0,255.5,25.65,36.38,31.42,46.08,147.85
2023-12-19,133.4,75.95,585.0,260.0,25.5,36.1,31.22,46.27,146.3
2023-12-20,133.75,76.1,585.0,261.5,25.4,36.57,31.17,46.6,148.15
2023-12-21,132.6,75.5,577.0,262.0,25.4,36.33,31.26,45.94,145.7
2023-12-22,132.95,75.65,582.0,259.0,25.4,36.37,30.99,46.02,146.2
2023-12-25,133.5,76.0,581.0,263.5,25.35,36.65,30.79,46.21,147.15
2023-12-26,134.25,76.4,586.0,264.0,25.5,37.0,30.89,46.03,149.1
2023-12-27,135.75,77.1,592.0,264.0,25.7,37.42,30.83,45.99,151.4
