Date,Close
2020-05-04,47.7
2020-05-05,47.78
2020-05-06,47.74
2020-05-07,48.04
2020-05-08,48.29
2020-05-11,48.72
2020-05-12,48.1
2020-05-13,48.25
2020-05-14,47.7
2020-05-15,47.91
2020-05-18,47.5
2020-05-19,47.95
2020-05-20,47.95
2020-05-21,48.37
2020-05-22,47.56
2020-05-25,47.68
2020-05-26,48.38
2020-05-27,48.28
2020-05-28,48.0
2020-05-29,48.23
2020-06-01,48.56
2020-06-02,48.9
2020-06-03,49.71
2020-06-04,49.97
2020-06-05,50.35
2020-06-08,51.0
2020-06-09,51.2
2020-06-10,51.65
2020-06-11,50.85
2020-06-12,50.35
2020-06-15,49.76
2020-06-16,50.9
2020-06-17,50.8
2020-06-18,50.85
2020-06-19,50.8
2020-06-22,51.0
2020-06-23,51.2
2020-06-24,51.4
2020-06-29,51.0
2020-06-30,51.35
2020-07-01,51.75
2020-07-02,52.2
2020-07-03,52.8
2020-07-06,53.75
2020-07-07,53.9
2020-07-08,54.35
2020-07-09,54.4
2020-07-10,54.05
2020-07-13,54.8
2020-07-14,55.2
2020-07-15,55.4
2020-07-16,54.95
2020-07-17,55.4
2020-07-20,55.5
2020-07-21,56.3
2020-07-22,56.45
2020-07-23,56.4
2020-07-24,56.2
2020-07-27,58.95
2020-07-28,59.1
2020-07-29,58.55
2020-07-30,59.5
2020-07-31,59.3
2020-08-03,58.4
2020-08-04,59.1
2020-08-05,59.6
2020-08-06,60.25
2020-08-07,59.85
2020-08-10,60.35
2020-08-11,59.95
2020-08-12,59.1
2020-08-13,59.75
2020-08-14,59.7
2020-08-17,60.35
2020-08-18,60.05
2020-08-19,59.6
2020-08-20,57.8
2020-08-21,58.85
2020-08-24,59.05
2020-08-25,59.3
2020-08-26,59.7
2020-08-27,59.7
2020-08-28,59.25
2020-08-31,58.55
2020-09-01,58.95
2020-09-02,58.9
2020-09-03,59.05
2020-09-04,58.5
2020-09-07,58.5
2020-09-08,58.9
2020-09-09,58.6
2020-09-10,59.0
2020-09-11,59.0
2020-09-14,59.55
2020-09-15,59.9
2020-09-16,60.7
2020-09-17,60.0
2020-09-18,60.0
2020-09-21,59.5
2020-09-22,58.9
2020-09-23,58.75
2020-09-24,57.45
2020-09-25,57.45
2020-09-28,58.3
2020-09-29,58.5
2020-09-30,58.75
2020-10-05,58.9
2020-10-06,59.55
2020-10-07,59.9
2020-10-08,60.55
2020-10-12,61.1
2020-10-13,60.95
2020-10-14,60.75
2020-10-15,60.4
2020-10-16,60.1
2020-10-19,60.6
2020-10-20,60.5
2020-10-21,60.4
2020-10-22,60.55
2020-10-23,60.6
2020-10-26,60.65
2020-10-27,60.3
2020-10-28,59.95
2020-10-29,59.25
2020-10-30,58.8
2020-11-02,59.0
2020-11-03,59.85
2020-11-04,60.7
